symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,20,2,18,31.25,-18.95,-50.2,-0.215,34.53,55.0,0.878,384
AXSUSDT,23,2,21,-48.04,-90.61,-42.57,-2.77,91.04,34.78,0.191,384
COMPUSDT,25,0,25,-2.56,-45.86,-43.3,-0.928,51.83,44.0,0.638,384
LINKUSDT,24,2,22,54.01,18.24,-35.77,0.563,24.29,41.67,1.314,369
UNIUSDT,25,2,23,24.54,-14.22,-38.76,0.251,50.68,60.0,1.145,385
ETCUSDT,22,1,21,10.85,-34.99,-45.84,-1.004,40.67,40.91,0.585,384
LDOUSDT,29,3,26,73.44,22.58,-50.85,0.609,55.78,51.72,1.299,384
AVAXUSDT,23,5,19,49.16,-1.69,-50.84,0.186,32.28,43.48,1.093,363
SOLUSDT,28,0,28,67.24,30.08,-37.16,0.855,17.4,53.57,1.503,383
DOGEUSDT,26,0,26,14.9,-30.92,-45.82,-0.418,46.44,50.0,0.811,369
