symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,avg_funding_per_trade_pct,funding_share_of_pnl,oos_days
HBARUSDT,15,67.35,12.44,-54.91,1.004,8.71,53.33,1.682,0.0169,0.019,181
AXSUSDT,29,14.18,7.41,-6.77,0.509,21.15,37.93,1.213,0.6679,1.341,181
COMPUSDT,34,38.5,2.24,-36.26,0.304,22.67,41.18,1.102,0.3078,1.611,181
DOGEUSDT,1,42.75,0.4,-42.35,0.0,0.0,100.0,inf,-0.003,-0.008,181
LDOUSDT,0,58.17,0.0,-58.17,0.0,0.0,0.0,0.0,0.0,0.0,181
SOLUSDT,10,53.76,-1.35,-55.11,-0.043,12.03,60.0,0.975,0.058,-1.34,181
AVAXUSDT,20,32.27,-19.28,-51.55,-1.147,31.56,40.0,0.616,0.0316,-0.034,181
LINKUSDT,8,48.57,0.91,-47.65,0.193,12.4,37.5,1.145,0.0136,0.033,181
UNIUSDT,16,56.64,11.72,-44.93,0.878,15.07,56.25,1.588,0.002,0.002,181
ETCUSDT,5,62.2,13.86,-48.34,1.166,5.12,80.0,3.785,0.018,0.006,181
WLDUSDT,20,50.94,-20.81,-71.75,-1.431,20.81,35.0,0.589,0.128,-0.121,181
JUPUSDT,22,19.06,-37.61,-56.66,-2.967,43.31,36.36,0.334,0.0295,-0.015,181
PYTHUSDT,7,38.07,-16.83,-54.89,-4.34,16.83,14.29,0.036,0.005,-0.002,181
TONUSDT,6,45.01,2.81,-42.2,0.647,2.37,33.33,1.71,0.0012,0.002,181
