open_time,gross_ret,funding_pnl,net_ret,fee_lag,turnover,short_capital,active_short_syms,regime_active,btc_90d_ret
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.09565661710763629
2024-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.08926513421201498
2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.07313722231455322
2024-06-02,0.0,0.0,0.0,0.0,1.0,0.0,0,1,-0.007181930526352742
2024-06-03,-0.01607967347753316,0.00027462779596432825,-0.01660504568156883,0.0008,1.0,1.0,4,0,0.08006601053533147
2024-06-04,0.0,0.0,-0.0008,0.0008,0.0,0.0,0,0,0.06732236371527378
2024-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.06375504710632574
2024-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.03886465572116249
2024-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.014875636518963509
2024-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.004995521855951646
2024-06-09,0.0,0.0,0.0,0.0,1.0,0.0,0,1,-0.03446388132017986
2024-06-10,0.02913743735628886,0.0001751409938583857,0.028512578350147248,0.0008,0.006460465022624207,1.0,2,1,-0.027194587095402678
2024-06-11,0.053491088760740185,0.00017417192410499206,0.05366009231282708,5.168372018099366e-06,0.8835692086179394,0.9999999999999999,2,1,-0.07940777490304629
2024-06-12,-0.03944999889383946,0.00015497951108085664,-0.04000187474965296,0.0007068553668943515,0.8835692086179395,1.0,4,1,-0.04457599484994157
2024-06-13,0.08715011311929463,0.00018324241283539737,0.08662650016523567,0.0007068553668943516,0.04133388988472331,1.0,2,1,-0.03975862733313973
2024-06-14,0.04240909213493616,0.00018944249631810587,0.042565467519346485,3.3067111907778644e-05,1.0,1.0,2,0,0.010538476840446176
2024-06-15,0.0,0.0,-0.0008,0.0008,0.9999999999999999,0.0,0,1,-0.032640884526771385
2024-06-16,-0.02093581874574636,0.00016832536135195488,-0.021567493384394402,0.0007999999999999999,0.48745781609656047,0.9999999999999999,5,1,-0.01487437185929641
