symbol,n_trades,n_low_entries,n_high_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,1633,777,857,-36.97,-90.96,-53.99,-1.278,94.11,45.62,0.884,381
AXSUSDT,1697,787,910,11.15,-56.64,-67.79,0.102,83.47,45.14,1.009,381
COMPUSDT,1617,774,844,-28.02,-89.95,-61.93,-1.015,92.81,44.77,0.901,381
DOGEUSDT,1625,764,862,-45.67,-93.8,-48.13,-1.181,94.56,44.8,0.872,381
LDOUSDT,1696,777,920,-9.6,-77.38,-67.78,0.113,95.32,45.75,1.015,381
SOLUSDT,1569,770,799,0.31,-38.25,-38.57,-0.164,63.17,47.55,0.988,381
AVAXUSDT,1615,778,838,-24.6,-78.21,-53.62,-0.148,88.0,47.31,0.98,381
LINKUSDT,1600,786,815,-28.81,-67.81,-39.0,-0.22,81.26,46.38,0.976,381
UNIUSDT,1704,792,913,-48.39,-98.45,-50.06,-1.596,98.81,42.19,0.833,381
ETCUSDT,1553,764,790,-24.5,-80.82,-56.32,-1.063,84.42,47.97,0.901,381
