symbol,n_trades,n_low_entries,n_high_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,1353,1354,0,-18.94,-70.79,-51.85,-1.369,81.05,46.93,0.906,377
AXSUSDT,1393,1394,0,80.11,13.67,-66.44,0.585,52.03,45.73,1.046,377
COMPUSDT,1349,1350,0,-33.29,-93.59,-60.3,-3.111,97.27,41.73,0.786,377
DOGEUSDT,1337,1338,0,6.43,-38.9,-45.33,-0.34,67.49,47.79,0.976,377
LDOUSDT,1392,1393,0,7.67,-60.28,-67.94,-0.663,73.78,45.47,0.954,377
SOLUSDT,1326,1327,0,-15.18,-52.53,-37.35,-0.76,73.57,44.65,0.945,377
AVAXUSDT,1343,1344,0,-5.59,-58.12,-52.53,-0.883,66.64,46.09,0.938,377
LINKUSDT,1342,1343,0,-34.89,-72.86,-37.98,-1.522,81.25,46.13,0.895,377
UNIUSDT,1373,1374,0,20.52,-32.51,-53.03,-0.038,75.47,45.67,0.997,377
ETCUSDT,1305,1306,0,-1.74,-56.98,-55.24,-1.07,66.93,46.28,0.922,377
