symbol,n_trades,n_low_entries,n_high_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,1571,575,997,-22.16,-76.15,-53.99,-0.535,92.53,46.53,0.949,381
AXSUSDT,1635,587,1048,107.38,39.59,-67.79,0.897,79.21,46.06,1.085,381
COMPUSDT,1568,578,991,-28.85,-90.79,-61.93,-1.089,92.17,44.32,0.893,381
DOGEUSDT,1574,595,980,-38.8,-86.93,-48.13,-0.687,92.25,44.85,0.923,381
LDOUSDT,1655,609,1047,43.47,-24.32,-67.78,0.659,90.59,47.25,1.093,381
SOLUSDT,1538,574,965,-36.86,-75.43,-38.57,-1.242,78.88,46.36,0.913,381
AVAXUSDT,1563,578,986,-15.13,-68.74,-53.62,0.043,84.35,46.0,1.006,381
LINKUSDT,1566,587,980,-47.49,-86.49,-39.0,-0.838,92.92,44.83,0.912,381
UNIUSDT,1636,596,1041,-43.46,-93.51,-50.06,-0.742,97.31,43.34,0.916,381
ETCUSDT,1523,578,946,-30.72,-87.04,-56.32,-1.441,90.39,45.9,0.869,381
