symbol,n_trades,n_low_entries,n_high_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,1342,1343,0,-13.72,-67.71,-53.99,-1.223,81.05,47.02,0.915,381
AXSUSDT,1382,1383,0,75.39,7.6,-67.79,0.525,52.03,45.66,1.042,381
COMPUSDT,1335,1336,0,-31.95,-93.89,-61.93,-3.178,97.27,41.65,0.781,381
DOGEUSDT,1325,1326,0,16.49,-31.64,-48.13,-0.184,67.49,47.85,0.987,381
LDOUSDT,1379,1380,0,20.53,-47.25,-67.78,-0.333,73.78,45.98,0.976,381
SOLUSDT,1314,1315,0,-0.4,-38.97,-38.57,-0.388,73.57,45.05,0.971,381
AVAXUSDT,1332,1333,0,-1.09,-54.7,-53.62,-0.759,65.52,46.4,0.946,381
LINKUSDT,1331,1332,0,-33.08,-72.08,-39.0,-1.471,81.0,45.98,0.897,381
UNIUSDT,1363,1364,0,7.6,-42.46,-50.06,-0.214,75.47,45.71,0.984,381
ETCUSDT,1292,1293,0,-1.3,-57.62,-56.32,-1.096,66.93,46.21,0.919,381
