symbol,n_trades,n_low_entries,n_high_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,1401,0,1401,-40.06,-94.04,-53.99,-1.663,94.63,44.47,0.837,381
AXSUSDT,1483,0,1483,-22.67,-90.46,-67.79,-0.994,92.33,43.36,0.909,381
COMPUSDT,1402,0,1402,-12.61,-74.54,-61.93,-0.391,91.81,46.29,0.957,381
DOGEUSDT,1392,0,1392,-37.94,-86.07,-48.13,-0.678,86.15,45.98,0.916,381
LDOUSDT,1494,0,1494,-26.15,-93.93,-67.78,-0.504,95.47,45.11,0.929,381
SOLUSDT,1361,0,1362,-39.76,-78.33,-38.57,-1.542,81.2,46.88,0.887,381
AVAXUSDT,1389,0,1389,0.22,-53.39,-53.62,0.246,84.45,47.23,1.039,381
LINKUSDT,1375,0,1375,-32.5,-71.5,-39.0,-0.339,83.81,45.89,0.959,381
UNIUSDT,1481,0,1482,-47.42,-97.47,-50.06,-1.376,97.72,43.42,0.842,381
ETCUSDT,1346,0,1346,-30.37,-86.7,-56.32,-1.439,87.31,46.36,0.858,381
