symbol,n_trades,n_low_entries,n_high_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,1165,0,1165,-15.46,-67.31,-51.85,-0.36,86.64,45.15,0.958,377
AXSUSDT,1231,0,1231,7.19,-59.25,-66.44,-0.017,81.52,46.06,0.998,377
COMPUSDT,1169,0,1169,7.94,-52.36,-60.3,0.029,79.95,46.88,1.004,377
DOGEUSDT,1174,0,1174,-40.1,-85.42,-45.33,-0.698,88.54,45.4,0.904,377
LDOUSDT,1239,0,1239,-25.31,-93.25,-67.94,-0.491,96.3,43.83,0.921,377
SOLUSDT,1126,0,1127,-20.5,-57.85,-37.35,-0.793,64.77,47.78,0.934,377
AVAXUSDT,1173,0,1173,-27.29,-79.82,-52.53,-0.238,89.87,46.38,0.96,377
LINKUSDT,1145,0,1145,-35.06,-73.04,-37.98,-0.416,86.01,46.72,0.944,377
UNIUSDT,1238,0,1239,-39.81,-92.85,-53.03,-0.832,93.31,45.07,0.887,377
ETCUSDT,1117,0,1117,-29.2,-84.44,-55.24,-1.381,86.18,44.85,0.849,377
