symbol,n_trades,n_low_entries,n_high_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,1468,750,718,27.28,-26.71,-53.99,0.316,61.53,47.96,1.034,381
AXSUSDT,1562,749,813,15.44,-52.35,-67.79,0.158,74.27,46.03,1.015,381
COMPUSDT,1480,723,757,-13.7,-75.63,-61.93,-0.425,86.92,45.61,0.955,381
DOGEUSDT,1475,738,737,-17.0,-65.13,-48.13,-0.076,78.88,46.1,0.991,381
LDOUSDT,1540,764,776,43.87,-23.91,-67.78,0.65,83.54,46.62,1.099,381
SOLUSDT,1435,750,686,-18.62,-57.18,-38.57,-0.656,60.19,47.25,0.951,381
AVAXUSDT,1461,720,741,47.97,-5.65,-53.62,0.627,68.47,48.19,1.099,381
LINKUSDT,1468,754,714,-32.4,-71.4,-39.0,-0.326,92.22,46.25,0.963,381
UNIUSDT,1526,744,783,-14.05,-64.11,-50.06,0.17,91.01,45.94,1.022,381
ETCUSDT,1429,737,692,-15.01,-71.33,-56.32,-0.714,75.04,47.24,0.93,381
