open_time,gross_ret,net_ret,eq_basket,btc_bnh,turnover,fee_lag,total_weight,active_syms
2024-05-30,0.0,0.0,-0.014041615543710076,0.010575194240523,0.0,0.0,0.0,0
2024-05-31,0.026409627813684056,0.026409627813684056,-0.004704843100540186,-0.012055114944629297,0.0,0.0,1.0,1
2024-06-01,0.0017913364455541814,0.0017913364455541814,0.006319833704952086,0.0032747392268774878,0.0,0.0,1.0,1
2024-06-02,-0.01636412896234085,-0.01636412896234085,-0.011866260155439654,9.882122502924418e-05,0.0,0.0,1.0,1
2024-06-03,-0.028535228336913798,-0.028535228336913798,0.007065558022132966,0.015419012209851868,0.0,0.0,1.0,1
2024-06-04,0.005387014459880879,0.005387014459880879,0.028657375437086432,0.02510624330078981,0.0,0.0,1.0,1
2024-06-05,0.001804850535815028,0.001804850535815028,0.013243629324457924,0.007839331255313109,1.0658607449448159,0.0,1.0,1
2024-06-06,-0.01364697407441881,-0.014499662670374664,-0.015975528965704772,-0.004263825803104915,0.3553726312452361,0.0008526885959558527,1.0,4
2024-06-07,-0.037705934508007424,-0.03799023261300361,-0.04572036216155121,-0.020513906536778204,0.763558330983527,0.0002842981049961889,1.0,5
2024-06-08,-0.010996433497334406,-0.011607280162121227,-0.01975773341055221,-0.00043962696570909454,0.8457576485060794,0.0006108466647868216,1.0,4
2024-06-09,0.018894469406916102,0.018217863288111237,0.012024779803697634,0.004623160505577095,0.8879083707890789,0.0006766061188048636,1.0,2
2024-06-10,-0.023051569926695027,-0.02376189662332629,-0.0221185746899725,-0.0015559711829544742,0.29950085783799907,0.0007103266966312631,1.0,4
2024-06-11,-0.049030532562049145,-0.049270133248319546,-0.045690442972398305,-0.032174264326389035,0.5500498286854676,0.00023960068627039926,1.0,5
2024-06-12,0.0337729112219072,0.03333287135895882,0.038068498677919727,0.014105616845933033,0.6899851347621213,0.0004400398629483741,1.0,3
2024-06-13,-0.0389340476072368,-0.0394860357150465,-0.04480932986450858,-0.02172833574775579,0.13434533803482676,0.000551988107809697,1.0000000000000002,5
2024-06-14,-0.019763556995593807,-0.01987103326602167,-0.02297225309717518,-0.011187822761649313,1.183468201559083,0.00010747627042786142,1.0,5
2024-06-15,0.018264197886008634,0.01731742332476137,0.014754129499782442,0.002634778777008462,0.27233604184715987,0.0009467745612472664,0.7276639581528401,1
2024-06-16,0.015440584998893003,0.015222716165415276,0.01230565187855793,0.006643640213430224,0.026710743180808905,0.0002178688334777279,1.0,1
2024-06-17,-0.030464316946170102,-0.03048568554071475,-0.04062875892202294,-0.0027230337146080252,0.32600194038032837,2.1368594544647126e-05,0.9732892568191911,1
2024-06-18,-0.0050203332478902536,-0.005281134800194516,-0.05359495680280828,-0.019889547644801442,0.07406396827780937,0.0002608015523042627,0.6472873164388627,1
2024-06-19,0.015848707131891935,0.015789455957269688,0.009868666798013364,-0.0033215656178050557,0.7213512847166721,5.9251174622247495e-05,0.7213512847166721,1
2024-06-20,0.0,-0.0005770810277733377,-0.000917134282109893,-0.0012258676555743087,0.0,0.0005770810277733377,0.0,0
2024-06-21,0.0,0.0,-0.00987673026403918,-0.011256052055385934,0.0,0.0,0.0,0
2024-06-22,0.0,0.0,-0.00779106370162741,0.001808995072047903,0.0,0.0,0.0,0
2024-06-23,0.0,0.0,-0.023758423192160268,-0.01626867995018677,0.0,0.0,0.0,0
2024-06-24,0.0,0.0,0.002722532653301048,-0.046226831595587714,0.0,0.0,0.0,0
2024-06-25,0.0,0.0,0.03462831828455643,0.024956199729234685,0.0,0.0,0.0,0
2024-06-26,0.0,0.0,-0.014440456246869309,-0.014854850771636507,0.0,0.0,0.0,0
2024-06-27,0.0,0.0,0.034882154935678714,0.013504742844655304,0.0,0.0,0.0,0
2024-06-28,0.0,0.0,-0.02721487815742995,-0.020300898155053315,0.0,0.0,0.0,0
2024-06-29,0.0,0.0,0.00292665523107849,0.00914449493461822,0.0,0.0,0.0,0
2024-06-30,0.0,0.0,0.0333267605646157,0.02924778296688868,0.0,0.0,0.0,0
2024-07-01,0.0,0.0,-0.0030821335687782098,0.0018736258483891266,0.0,0.0,0.0,0
2024-07-02,0.0,0.0,0.011911513246670724,-0.01208582205853359,0.0,0.0,0.0,0
2024-07-03,0.0,0.0,-0.06169601793313791,-0.03083530252593214,0.0,0.0,0.0,0
2024-07-04,0.0,0.0,-0.08264172000941092,-0.05251959872442202,0.0,0.0,0.0,0
2024-07-05,0.0,0.0,-0.008546136371173987,-0.007730616924266243,0.0,0.0,0.0,0
2024-07-06,0.0,0.0,0.06426544644218686,0.028462200268881244,0.0,0.0,0.0,0
2024-07-07,0.0,0.0,-0.07484942999404957,-0.04096983647107322,0.0,0.0,0.0,0
2024-07-08,0.0,0.0,0.03465230573963574,0.01532305587049465,0.0,0.0,0.0,0
2024-07-09,0.0,0.0,0.013245889737785359,0.023582376019644746,0.0,0.0,0.0,0
2024-07-10,0.0,0.0,0.006858291192561753,-0.005449544320202948,0.0,0.0,0.0,0
2024-07-11,0.0,0.0,-0.00144162069405234,-0.00678427227199474,0.7367150303930057,0.0,0.0,0
2024-07-12,0.03815729692535787,0.037567924901043465,0.02964567502442658,0.009674520853870217,0.5864031165627798,0.0005893720243144046,0.7367150303930057,1
2024-07-13,0.08063847532531926,0.08016935283206904,0.026448325137584106,0.022533264212891035,0.2990354746478587,0.00046912249325022385,1.0,2
2024-07-14,-0.015242857594776189,-0.015482085974494476,0.019927260366834582,0.02690370770946693,0.2565185237538782,0.00023922837971828695,1.0,2
