symbol,alpha_pct,sharpe_ann,perm_p,perm_random_mean
LINKUSDT,116.18,1.248,0.0,3.595
UNIUSDT,120.27,1.1,0.0,-7.484
LDOUSDT,124.35,0.944,0.0,36.968
