open_time,gross_ret,net_ret,eq_basket,btc_bnh,turnover,fee_lag,total_weight,active_syms
2024-05-30,0.0,0.0,-0.014041615543710076,0.010575194240523,0.0,0.0,0.0,0
2024-05-31,0.02150871976632395,0.02150871976632395,-0.004704843100540186,-0.012055114944629297,0.05135923313558166,0.0,1.0,2
2024-06-01,0.004770352250461777,0.004729264863953311,0.006319833704952086,0.0032747392268774878,0.06500031595334022,4.108738650846533e-05,1.0,2
2024-06-02,-0.014284023660483635,-0.014336023913246307,-0.011866260155439654,9.882122502924418e-05,0.03557416436661548,5.200025276267217e-05,1.0,2
2024-06-03,-0.022223368440324312,-0.022251827771817605,0.007065558022132966,0.015419012209851868,0.0706359648637091,2.8459331493292383e-05,1.0,2
2024-06-04,0.007218713610114415,0.007162204838223447,0.028657375437086432,0.02510624330078981,0.05436251282350257,5.650877189096728e-05,0.9999999999999999,2
2024-06-05,0.005870184919802723,0.005826694909543921,0.013243629324457924,0.007839331255313109,0.17099400924825348,4.349001025880206e-05,0.9999999999999999,2
2024-06-06,-0.022122954225551054,-0.022259749432949658,-0.015975528965704772,-0.004263825803104915,0.40828030608831367,0.0001367952073986028,1.0,2
2024-06-07,-0.041286685786549794,-0.04161331003142044,-0.04572036216155121,-0.020513906536778204,0.40828030608831356,0.00032662424487065096,1.0,3
2024-06-08,-0.012774823258895628,-0.013101447503766279,-0.01975773341055221,-0.00043962696570909454,0.1039273057627621,0.00032662424487065085,0.9999999999999999,2
2024-06-09,0.017118972165034056,0.017035830320423846,0.012024779803697634,0.004623160505577095,0.5799226223877145,8.314184461020969e-05,1.0,2
2024-06-10,-0.014928144748987592,-0.015392082846897763,-0.0221185746899725,-0.0015559711829544742,0.0745807351331364,0.0004639380979101716,1.0,4
2024-06-11,-0.0476627545298758,-0.047722419117982307,-0.045690442972398305,-0.032174264326389035,0.6545033575208508,5.966458810650912e-05,1.0,4
2024-06-12,0.0398477777071686,0.03932417502115192,0.038068498677919727,0.014105616845933033,0.5062689236918461,0.0005236026860166806,1.0,2
2024-06-13,-0.04016633703402735,-0.04057135217298082,-0.04480932986450858,-0.02172833574775579,0.07259134224191385,0.00040501513895347687,1.0,3
2024-06-14,-0.013661327874410111,-0.013719400948203642,-0.02297225309717518,-0.011187822761649313,0.95573756842282,5.8073073793531084e-05,0.9999999999999999,3
2024-06-15,0.018627071307784154,0.0178624812530459,0.014754129499782442,0.002634778777008462,0.2578788008532963,0.000764590054738256,0.7421211991467037,1
2024-06-16,0.015440584998893003,0.015234281958210366,0.01230565187855793,0.006643640213430224,0.07468160135429236,0.00020630304068263705,1.0,1
2024-06-17,-0.028962811183789884,-0.02902255646487332,-0.04062875892202294,-0.0027230337146080252,0.31828971040182763,5.974528108343389e-05,0.9253183986457076,1
