announce_ts,delist_ts,symbol,gap_days,source_title
2025-11-24T13:45:11.669000+00:00,2025-11-28T00:00:00+00:00,QUICKUSDT,3.427,Binance Futures Will Delist Multiple USDⓈ-M Perpetual Contracts (2025-11-28)
2025-11-24T13:45:11.669000+00:00,2025-11-28T00:00:00+00:00,SWELLUSDT,3.427,Binance Futures Will Delist Multiple USDⓈ-M Perpetual Contracts (2025-11-28)
2025-11-18T04:01:13.736000+00:00,2025-11-21T00:00:00+00:00,FLMUSDT,2.832,Binance Futures Will Delist Multiple USDⓈ-M Perpetual Contracts (2025-11-21)
2025-11-18T04:01:13.736000+00:00,2025-11-21T00:00:00+00:00,PERPUSDT,2.832,Binance Futures Will Delist Multiple USDⓈ-M Perpetual Contracts (2025-11-21)
2025-11-18T04:01:13.736000+00:00,2025-11-21T00:00:00+00:00,XCNUSDT,2.832,Binance Futures Will Delist Multiple USDⓈ-M Perpetual Contracts (2025-11-21)
2025-11-10T13:45:00.002000+00:00,2025-11-14T00:00:00+00:00,1000XUSDT,3.427,Binance Futures Will Delist USDⓈ-M MYROUSDT and 1000XUSDT Perpetual Contracts (2025-11-14)
2025-11-10T13:45:00.002000+00:00,2025-11-14T00:00:00+00:00,MYROUSDT,3.427,Binance Futures Will Delist USDⓈ-M MYROUSDT and 1000XUSDT Perpetual Contracts (2025-11-14)
2025-11-03T02:30:28.085000+00:00,2025-11-06T00:00:00+00:00,KDAUSDT,2.896,Binance Futures Will Delist Multiple Perpetual Contracts
2025-10-18T03:58:50.952000+00:00,2025-10-20T00:00:00+00:00,SLERFUSDT,1.834,Binance Futures Will Delist USDⓈ-M SLERFUSDT and COIN-M CHZUSD Perpetual Contracts (2025-10-20 & 2025-10-21)
2025-09-29T11:45:19.511000+00:00,2025-10-03T00:00:00+00:00,BAKEUSDT,3.51,Binance Futures Will Delist USDⓈ-M HIFIUSDT and BAKEUSDT Perpetual Contracts (2025-10-03)
2025-09-29T11:45:19.511000+00:00,2025-10-03T00:00:00+00:00,HIFIUSDT,3.51,Binance Futures Will Delist USDⓈ-M HIFIUSDT and BAKEUSDT Perpetual Contracts (2025-10-03)
2025-09-24T12:00:05.980000+00:00,2025-09-26T00:00:00+00:00,UXLINKUSDT,1.5,Binance Futures Will Delist USDⓈ-M UXLINKUSDT Perpetual Contract (2025-09-26)
