symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,45,27,19,61.09,9.6,-51.49,0.468,33.73,35.56,1.219,399
AXSUSDT,62,44,19,-5.67,-60.84,-55.17,0.121,72.01,27.42,1.078,399
COMPUSDT,53,17,37,-4.39,-46.26,-41.87,-0.235,61.66,37.74,0.913,399
LINKUSDT,54,19,36,-20.76,-59.21,-38.45,-0.857,78.07,31.48,0.752,384
UNIUSDT,54,21,34,-43.89,-92.0,-48.1,-3.191,92.34,27.78,0.341,399
ETCUSDT,44,15,30,42.42,-8.44,-50.86,0.193,47.73,52.27,1.075,399
LDOUSDT,59,24,36,4.0,-56.0,-60.0,-0.221,70.11,28.81,0.923,399
AVAXUSDT,59,35,25,-23.49,-77.74,-54.25,-1.666,84.77,27.12,0.592,378
SOLUSDT,43,32,12,122.49,89.28,-33.2,1.192,40.2,48.84,1.583,397
DOGEUSDT,40,25,16,225.75,177.08,-48.67,1.613,31.22,50.0,1.948,384
