symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,23,29.91,-19.83,-49.74,-1.964,25.74,47.83,0.441,177
AXSUSDT,29,40.92,10.92,-29.99,0.903,21.07,58.62,1.314,105
COMPUSDT,20,54.12,22.27,-31.84,1.524,8.63,50.0,1.916,171
DOGEUSDT,19,28.05,-7.76,-35.81,-0.757,18.16,42.11,0.725,176
LDOUSDT,23,36.42,-17.13,-53.55,-1.033,25.8,43.48,0.641,176
SOLUSDT,18,57.16,11.21,-45.96,1.125,14.53,61.11,1.633,177
AVAXUSDT,23,43.88,1.83,-42.04,0.277,10.01,39.13,1.121,177
LINKUSDT,22,26.2,-16.76,-42.95,-1.572,26.5,40.91,0.539,173
UNIUSDT,20,48.24,4.42,-43.82,0.51,14.78,50.0,1.245,176
ETCUSDT,19,57.94,9.34,-48.6,1.012,10.62,63.16,1.588,176
