symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,6,46.77,-2.97,-49.74,-0.42,9.21,50.0,0.718,177
AXSUSDT,16,44.89,14.9,-29.99,1.787,8.94,56.25,2.016,105
COMPUSDT,11,56.92,25.08,-31.84,1.878,6.16,45.45,3.197,171
DOGEUSDT,5,35.28,-0.52,-35.81,-0.068,5.34,20.0,0.939,176
LDOUSDT,4,53.92,0.37,-53.55,0.118,4.5,50.0,1.116,176
SOLUSDT,6,45.3,-0.66,-45.96,-0.041,9.27,50.0,0.971,177
AVAXUSDT,6,45.1,3.06,-42.04,0.461,7.38,33.33,1.463,177
LINKUSDT,6,39.47,-3.48,-42.95,-0.821,6.47,50.0,0.54,173
UNIUSDT,6,41.49,-2.33,-43.82,-0.364,5.88,50.0,0.753,176
ETCUSDT,10,41.03,-7.57,-48.6,-1.144,12.71,50.0,0.508,176
