symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,6,43.49,-6.25,-49.74,-1.295,9.21,50.0,0.342,177
AXSUSDT,16,46.12,16.13,-29.99,1.37,12.46,56.25,1.764,105
COMPUSDT,10,57.72,25.88,-31.84,2.008,6.16,50.0,3.481,171
DOGEUSDT,5,37.73,1.92,-35.81,0.435,3.83,40.0,1.459,176
LDOUSDT,4,53.92,0.37,-53.55,0.118,4.5,50.0,1.116,176
SOLUSDT,6,45.08,-0.88,-45.96,-0.173,5.74,50.0,0.875,177
AVAXUSDT,6,46.52,4.47,-42.04,0.647,6.65,50.0,1.717,177
LINKUSDT,6,39.47,-3.48,-42.95,-0.821,6.47,50.0,0.54,173
UNIUSDT,6,42.57,-1.26,-43.82,-0.171,5.88,66.67,0.877,176
ETCUSDT,10,45.14,-3.47,-48.6,-0.435,12.71,60.0,0.789,176
