symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,52,35.71,-14.04,-49.74,-0.9,24.74,44.23,0.78,177
AXSUSDT,58,12.16,-17.83,-29.99,-1.242,28.2,51.72,0.772,105
COMPUSDT,40,2.16,-29.69,-31.84,-1.961,36.17,45.0,0.512,171
DOGEUSDT,57,51.27,15.46,-35.81,1.228,11.32,50.88,1.375,176
LDOUSDT,50,66.99,13.45,-53.55,0.836,19.29,46.0,1.309,176
SOLUSDT,48,32.17,-13.79,-45.96,-0.872,25.6,39.58,0.794,177
AVAXUSDT,53,28.28,-13.76,-42.04,-1.207,19.0,43.4,0.716,177
LINKUSDT,53,16.7,-26.26,-42.95,-2.239,28.59,45.28,0.532,173
UNIUSDT,46,27.09,-16.74,-43.82,-1.091,27.33,47.83,0.721,176
ETCUSDT,47,38.96,-9.65,-48.6,-0.615,19.13,46.81,0.837,176
