symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,25,29.3,-20.44,-49.74,-2.922,22.41,36.0,0.322,177
AXSUSDT,33,11.23,-18.76,-29.99,-1.711,25.25,51.52,0.618,105
COMPUSDT,21,36.16,4.31,-31.84,0.504,8.46,52.38,1.232,171
DOGEUSDT,20,31.78,-4.03,-35.81,-0.519,12.96,45.0,0.803,176
LDOUSDT,25,46.18,-7.37,-53.55,-0.727,18.07,40.0,0.755,176
SOLUSDT,19,47.72,1.76,-45.96,0.281,13.27,47.37,1.139,177
AVAXUSDT,25,29.6,-12.44,-42.04,-1.474,14.38,36.0,0.573,177
LINKUSDT,22,19.05,-23.91,-42.95,-2.923,26.15,27.27,0.258,173
UNIUSDT,23,45.45,1.63,-43.82,0.27,10.02,52.17,1.122,176
ETCUSDT,21,57.15,8.54,-48.6,0.844,10.62,57.14,1.409,176
