symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,1,49.64,-0.1,-49.74,0.0,0.1,0.0,0.0,177
AXSUSDT,8,43.1,13.11,-29.99,2.242,2.61,37.5,3.811,105
COMPUSDT,6,44.09,12.25,-31.84,1.072,7.04,33.33,2.385,171
DOGEUSDT,0,35.81,0.0,-35.81,0.0,0.0,0.0,0.0,176
LDOUSDT,0,53.55,0.0,-53.55,0.0,0.0,0.0,0.0,176
SOLUSDT,4,40.19,-5.77,-45.96,-1.107,9.27,25.0,0.404,177
AVAXUSDT,2,46.67,4.62,-42.04,0.576,3.68,50.0,2.342,177
LINKUSDT,2,41.87,-1.08,-42.95,-3.084,1.08,0.0,0.0,173
UNIUSDT,3,35.22,-8.61,-43.82,-2.796,8.61,0.0,0.0,176
ETCUSDT,2,47.41,-1.2,-48.6,-0.463,2.39,50.0,0.512,176
