symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,44,27.68,-22.06,-49.74,-1.227,25.2,43.18,0.7,177
AXSUSDT,46,105.63,75.64,-29.99,2.911,22.11,60.87,2.096,105
COMPUSDT,29,61.31,29.46,-31.84,1.176,16.25,55.17,1.641,171
DOGEUSDT,46,15.38,-20.42,-35.81,-1.333,35.63,45.65,0.711,176
LDOUSDT,41,97.31,43.76,-53.55,1.68,14.73,56.1,1.701,176
SOLUSDT,40,37.52,-8.44,-45.96,-0.386,25.1,55.0,0.89,177
AVAXUSDT,46,48.9,6.86,-42.04,0.571,20.7,52.17,1.177,177
LINKUSDT,48,0.01,-42.94,-42.95,-3.846,45.7,37.5,0.351,173
UNIUSDT,38,11.3,-32.53,-43.82,-2.187,36.78,47.37,0.52,176
ETCUSDT,38,52.81,4.21,-48.6,0.415,19.19,57.89,1.132,176
