symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,1,49.64,-0.1,-49.74,0.0,0.1,0.0,0.0,177
AXSUSDT,9,41.93,11.94,-29.99,1.922,5.33,33.33,2.775,105
COMPUSDT,6,35.18,3.34,-31.84,0.458,7.04,33.33,1.451,171
DOGEUSDT,0,35.81,0.0,-35.81,0.0,0.0,0.0,0.0,176
LDOUSDT,0,53.55,0.0,-53.55,0.0,0.0,0.0,0.0,176
SOLUSDT,4,42.31,-3.64,-45.96,-0.774,7.23,25.0,0.522,177
AVAXUSDT,3,37.95,-4.09,-42.04,-1.641,4.4,33.33,0.072,177
LINKUSDT,2,42.09,-0.86,-42.95,-1.703,0.86,0.0,0.0,173
UNIUSDT,3,40.32,-3.51,-43.82,-3.961,3.51,0.0,0.0,176
ETCUSDT,2,47.41,-1.2,-48.6,-0.463,2.39,50.0,0.512,176
