symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,23,24.41,-25.33,-49.74,-2.912,26.32,47.83,0.289,177
AXSUSDT,28,62.83,32.83,-29.99,1.862,14.66,67.86,1.802,105
COMPUSDT,19,54.34,22.5,-31.84,1.416,13.61,63.16,1.88,171
DOGEUSDT,18,27.83,-7.98,-35.81,-0.785,19.35,44.44,0.723,176
LDOUSDT,23,35.27,-18.28,-53.55,-0.978,28.14,43.48,0.676,176
SOLUSDT,18,48.5,2.54,-45.96,0.339,11.2,61.11,1.168,177
AVAXUSDT,22,49.06,7.02,-42.04,0.738,6.65,50.0,1.356,177
LINKUSDT,21,23.08,-19.87,-42.95,-2.03,28.71,33.33,0.436,173
UNIUSDT,20,53.24,9.42,-43.82,0.958,12.17,60.0,1.509,176
ETCUSDT,17,67.27,18.67,-48.6,1.776,7.88,76.47,2.23,176
