symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,1,49.64,-0.1,-49.74,0.0,0.1,0.0,0.0,177
AXSUSDT,8,47.79,17.8,-29.99,1.765,6.52,62.5,3.407,105
COMPUSDT,5,44.35,12.51,-31.84,1.127,7.04,40.0,2.574,171
DOGEUSDT,0,35.81,0.0,-35.81,0.0,0.0,0.0,0.0,176
LDOUSDT,0,53.55,0.0,-53.55,0.0,0.0,0.0,0.0,176
SOLUSDT,4,43.85,-2.1,-45.96,-0.462,5.74,25.0,0.661,177
AVAXUSDT,2,46.67,4.62,-42.04,0.576,3.68,50.0,2.342,177
LINKUSDT,2,41.87,-1.08,-42.95,-3.084,1.08,0.0,0.0,173
UNIUSDT,3,34.2,-9.63,-43.82,-3.686,9.63,0.0,0.0,176
ETCUSDT,2,47.41,-1.2,-48.6,-0.463,2.39,50.0,0.512,176
