symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,8,36.95,-12.79,-49.74,-3.627,13.96,12.5,0.092,177
AXSUSDT,19,34.91,4.92,-29.99,0.721,8.94,47.37,1.324,105
COMPUSDT,12,36.57,4.73,-31.84,0.608,8.94,41.67,1.434,171
DOGEUSDT,5,33.74,-2.07,-35.81,-0.774,4.24,20.0,0.528,176
LDOUSDT,4,52.19,-1.36,-53.55,-0.408,4.5,50.0,0.716,176
SOLUSDT,6,45.86,-0.1,-45.96,0.027,7.23,50.0,1.019,177
AVAXUSDT,7,35.29,-6.76,-42.04,-1.686,9.26,28.57,0.288,177
LINKUSDT,6,40.03,-2.92,-42.95,-0.661,6.36,50.0,0.613,173
UNIUSDT,7,49.16,5.34,-43.82,1.208,2.5,57.14,2.718,176
ETCUSDT,10,42.7,-5.9,-48.6,-0.815,11.8,50.0,0.638,176
