symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,37,18,19,59.11,8.9,-50.2,0.412,36.09,56.76,1.2,384
AXSUSDT,28,1,27,-23.03,-65.6,-42.57,-1.133,75.1,50.0,0.541,384
COMPUSDT,23,2,21,1.53,-41.77,-43.3,-0.669,53.21,43.48,0.699,384
LINKUSDT,30,15,15,13.46,-22.31,-35.77,-0.274,39.05,46.67,0.879,369
UNIUSDT,36,17,20,1.49,-37.27,-38.76,-0.589,47.65,47.22,0.78,385
ETCUSDT,27,6,21,21.17,-24.67,-45.84,-0.497,36.76,40.74,0.785,384
LDOUSDT,25,4,21,110.83,59.98,-50.85,1.072,18.43,52.0,1.704,384
AVAXUSDT,31,11,20,125.86,75.02,-50.84,1.301,18.63,58.06,1.691,363
SOLUSDT,30,15,15,137.05,99.89,-37.16,1.636,19.73,66.67,2.133,383
DOGEUSDT,30,16,15,69.09,23.27,-45.82,0.621,34.24,53.33,1.367,369
