symbol,alpha_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,n_trades,wf_positive_folds,wf_total_folds,perm_p,perm_random_mean
AXSUSDT,148.62,1.48,14.45,63.16,2.531,38,6,6,0.0,27.038
HBARUSDT,107.68,1.865,9.57,68.42,3.057,19,5,6,0.0,45.61
COMPUSDT,118.43,1.674,5.47,53.57,2.748,28,5,6,0.0,30.377
