symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,avg_funding_per_trade_pct,funding_share_of_pnl,oos_days
BTCUSDT,18,17.25,-7.6,-24.86,-1.01,13.01,27.78,0.618,0.0047,-0.011,174
ETHUSDT,19,30.09,0.34,-29.75,0.145,10.68,47.37,1.064,0.0006,0.007,176
SOLUSDT,14,24.03,-21.93,-45.96,-2.488,24.83,35.71,0.31,0.0193,-0.011,177
AVAXUSDT,19,39.13,-2.92,-42.04,-0.111,12.14,42.11,0.946,0.0165,-0.221,177
LINKUSDT,18,26.26,-16.7,-42.95,-2.094,19.61,50.0,0.364,-0.0034,0.003,173
DOGEUSDT,12,44.02,8.22,-35.81,1.085,7.76,58.33,1.811,0.0075,0.011,176
