symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,avg_funding_per_trade_pct,funding_share_of_pnl,oos_days
HBARUSDT,19,100.05,41.51,-58.53,1.738,8.17,68.42,3.503,0.0154,0.008,355
COMPUSDT,30,65.53,13.13,-52.39,0.754,6.6,63.33,1.432,0.1984,0.423,355
