symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,avg_funding_per_trade_pct,funding_share_of_pnl,oos_days
BTCUSDT,18,16.19,-8.66,-24.86,-1.19,13.7,22.22,0.566,0.0051,-0.011,174
ETHUSDT,19,36.7,6.95,-29.75,0.88,4.91,52.63,1.495,0.0039,0.01,176
SOLUSDT,14,29.66,-16.3,-45.96,-1.958,18.26,35.71,0.347,0.0199,-0.016,177
AVAXUSDT,21,40.88,-1.16,-42.04,-0.048,11.92,42.86,0.978,0.0143,-0.709,177
LINKUSDT,20,35.44,-7.51,-42.95,-0.856,14.46,45.0,0.683,0.0006,-0.002,173
DOGEUSDT,12,36.44,0.63,-35.81,0.166,6.17,50.0,1.103,0.0092,0.118,176
