symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,avg_funding_per_trade_pct,funding_share_of_pnl,oos_days
HBARUSDT,8,100.53,41.99,-58.53,2.201,4.67,87.5,8.928,0.0137,0.003,355
COMPUSDT,18,67.66,15.26,-52.39,0.672,10.53,55.56,1.602,0.4324,0.449,355
