symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,avg_funding_per_trade_pct,funding_share_of_pnl,oos_days
SOLUSDT,14,24.03,-21.93,-45.96,-2.488,24.83,35.71,0.31,0.0193,-0.011,177
HBARUSDT,17,68.79,19.05,-49.74,1.592,12.53,64.71,2.07,0.0064,0.006,177
AXSUSDT,20,80.56,50.57,-29.99,2.912,12.02,70.0,2.741,1.2856,0.57,105
DOGEUSDT,12,44.02,8.22,-35.81,1.085,7.76,58.33,1.811,0.0075,0.011,176
UNIUSDT,19,34.67,-9.15,-43.82,-0.565,17.91,42.11,0.734,-0.0071,0.017,176
PYTHUSDT,44,43.87,-6.98,-50.84,-0.153,29.23,50.0,0.959,0.0111,-0.157,176
TONUSDT,46,11.1,-22.31,-33.42,-1.898,28.11,45.65,0.576,0.0141,-0.028,176
ICPUSDT,17,38.06,-24.14,-62.2,-3.438,27.73,35.29,0.221,0.1256,-0.08,174
ETCUSDT,19,50.31,3.53,-46.78,0.386,10.33,57.89,1.193,0.0037,0.013,176
JUPUSDT,38,27.29,-23.71,-51.0,-1.7,32.7,36.84,0.615,0.025,-0.038,174
COMPUSDT,22,39.86,8.02,-31.84,0.572,14.38,54.55,1.276,0.3907,0.726,171
WLDUSDT,16,51.45,-19.72,-71.17,-2.045,24.35,37.5,0.394,0.0788,-0.061,177
LDOUSDT,21,64.48,10.94,-53.55,0.776,12.62,42.86,1.422,-0.003,-0.005,176
1000LUNCUSDT,20,-43.91,100.77,144.68,1.246,13.53,40.0,4.319,0.1232,0.02,175
