symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,467,-24.03,-36.55,-12.51,-6.79,36.63,42.83,0.68,73
AXSUSDT,586,-43.92,-40.82,3.1,-5.325,42.64,42.83,0.765,73
COMPUSDT,655,-70.48,-47.51,22.97,-6.958,50.53,44.27,0.719,73
DOGEUSDT,444,2.01,-11.33,-13.34,-1.406,31.13,43.92,0.929,57
LDOUSDT,407,-31.3,-23.08,8.22,-2.149,33.44,46.93,0.865,73
SOLUSDT,292,-23.37,-24.48,-1.11,-4.678,25.47,41.78,0.709,73
AVAXUSDT,379,-20.5,-34.66,-14.16,-5.173,40.29,45.91,0.719,60
LINKUSDT,296,-4.69,-12.2,-7.51,-2.145,25.62,44.59,0.871,57
UNIUSDT,409,-13.14,-21.35,-8.2,-2.805,24.46,42.54,0.839,73
ETCUSDT,472,-31.3,-35.26,-3.96,-6.313,36.09,42.58,0.69,73
