symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,20,8.82,-3.7,-12.51,-3.393,3.84,25.0,0.41,73
AXSUSDT,40,-10.26,-7.16,3.1,-1.954,12.42,47.5,0.699,73
COMPUSDT,54,-25.44,-2.47,22.97,-0.87,5.65,44.44,0.864,73
DOGEUSDT,22,11.82,-1.52,-13.34,-0.527,4.77,40.91,0.888,57
LDOUSDT,17,0.4,8.62,8.22,1.731,4.11,58.82,2.045,73
SOLUSDT,7,1.1,-0.0,-1.11,0.004,1.18,57.14,1.002,73
AVAXUSDT,25,10.31,-3.85,-14.16,-1.773,5.05,48.0,0.649,60
LINKUSDT,8,8.34,0.83,-7.51,0.863,2.17,62.5,1.388,57
UNIUSDT,11,3.48,-4.73,-8.2,-4.147,4.73,27.27,0.134,73
ETCUSDT,22,1.6,-2.36,-3.96,-2.119,2.69,36.36,0.593,73
