symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,32,8.16,-3.98,-12.15,-1.649,5.58,43.75,0.69,73
AXSUSDT,43,-10.43,-7.25,3.18,-2.575,9.64,46.51,0.641,73
COMPUSDT,56,-19.95,3.27,23.22,1.099,5.81,48.21,1.201,73
DOGEUSDT,19,16.54,4.51,-12.03,2.346,2.55,52.63,1.914,57
LDOUSDT,21,7.22,15.66,8.44,5.675,0.84,76.19,8.459,73
SOLUSDT,13,4.59,3.47,-1.12,4.739,0.52,69.23,5.155,73
AVAXUSDT,20,22.37,8.31,-14.06,2.821,2.34,60.0,2.194,60
LINKUSDT,14,10.28,2.16,-8.12,1.364,1.56,50.0,1.55,57
UNIUSDT,22,7.19,-0.91,-8.1,-0.382,4.45,50.0,0.906,73
ETCUSDT,27,4.38,0.65,-3.74,0.427,2.93,48.15,1.103,73
