symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,188,4.07,-8.44,-12.51,-1.875,11.9,48.4,0.84,73
AXSUSDT,241,-4.85,-1.75,3.1,-0.113,13.48,47.72,0.991,73
COMPUSDT,318,-40.24,-17.28,22.97,-2.732,22.13,46.23,0.831,73
DOGEUSDT,210,20.93,7.59,-13.34,1.479,12.61,47.62,1.119,57
LDOUSDT,145,-8.78,-0.56,8.22,0.116,17.96,48.97,1.015,73
SOLUSDT,92,-16.9,-18.01,-1.11,-5.886,18.01,39.13,0.465,73
AVAXUSDT,161,-3.83,-18.0,-14.16,-3.047,25.44,44.72,0.727,60
LINKUSDT,98,13.47,5.96,-7.51,1.573,6.94,47.96,1.197,57
UNIUSDT,143,2.06,-6.15,-8.2,-1.138,17.86,48.25,0.888,73
ETCUSDT,185,-7.85,-11.8,-3.96,-2.435,15.39,49.19,0.799,73
