symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,323,-2.03,-14.46,-12.44,-2.492,21.57,46.13,0.841,73
AXSUSDT,431,-23.31,-20.29,3.03,-2.493,30.23,45.94,0.863,73
COMPUSDT,509,-45.22,-22.37,22.84,-2.842,24.68,48.13,0.856,73
DOGEUSDT,319,-9.57,-21.74,-12.17,-3.784,25.32,41.07,0.791,57
LDOUSDT,288,-12.57,-4.54,8.03,-0.272,23.71,45.83,0.979,73
SOLUSDT,165,1.39,0.15,-1.25,0.153,16.31,45.45,1.016,73
AVAXUSDT,268,-3.36,-17.45,-14.09,-2.602,25.56,47.76,0.82,60
LINKUSDT,199,4.69,-3.27,-7.96,-0.521,16.77,47.74,0.961,57
UNIUSDT,275,-13.43,-21.89,-8.46,-3.014,33.31,44.0,0.787,73
ETCUSDT,338,-13.58,-17.61,-4.03,-2.807,29.15,44.38,0.822,73
