symbol,wf_positive_folds,wf_total_folds,fold_alphas
DOGEUSDT,4,6,"[np.float64(-24.49), np.float64(-23.01), np.float64(12.25), np.float64(42.17), np.float64(19.66), np.float64(36.9)]"
ETCUSDT,4,6,"[np.float64(-0.07), np.float64(-34.45), np.float64(56.01), np.float64(29.33), np.float64(31.74), np.float64(1.21)]"
