symbol,alpha_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,n_trades,perm_p,perm_random_mean
DOGEUSDT,69.79,1.829,2.99,58.82,3.032,34,0.005,-81.929
ETCUSDT,90.83,1.198,6.5,52.44,2.42,82,0.0,-16.623
