symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
DOGEUSDT,351,50.66,2.61,-48.05,0.22,19.36,46.15,1.038,383
ETCUSDT,559,5.02,-43.51,-48.53,-2.257,46.49,42.93,0.756,398
