symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,8,11.99,-0.45,-12.44,-0.65,0.97,50.0,0.742,73
AXSUSDT,17,-7.14,-4.12,3.03,-2.494,5.41,58.82,0.405,73
COMPUSDT,27,-24.55,-1.7,22.84,-0.749,4.9,37.04,0.829,73
DOGEUSDT,7,20.85,8.68,-12.17,5.539,0.26,71.43,21.971,57
LDOUSDT,7,-8.76,-0.73,8.03,-0.605,2.82,42.86,0.754,73
SOLUSDT,3,1.12,-0.12,-1.25,-1.359,0.15,33.33,0.4,73
AVAXUSDT,9,19.22,5.13,-14.09,1.873,1.97,44.44,2.175,60
LINKUSDT,4,11.99,4.03,-7.96,3.187,0.66,50.0,7.035,57
UNIUSDT,4,8.6,0.14,-8.46,0.33,0.66,50.0,1.213,73
ETCUSDT,11,1.61,-2.42,-4.03,-3.25,2.42,27.27,0.325,73
