symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,122,5.33,-6.82,-12.15,-1.636,13.77,44.26,0.835,73
AXSUSDT,148,-28.17,-24.99,3.18,-5.631,25.36,41.22,0.581,73
COMPUSDT,221,-47.13,-23.92,23.22,-4.607,30.54,48.87,0.679,73
DOGEUSDT,106,19.89,7.85,-12.03,1.865,7.39,45.28,1.212,57
LDOUSDT,78,28.34,36.78,8.44,5.738,4.98,57.69,2.484,73
SOLUSDT,59,-3.71,-4.83,-1.12,-1.419,6.67,38.98,0.782,73
AVAXUSDT,96,17.2,3.14,-14.06,0.746,13.54,53.12,1.093,60
LINKUSDT,57,12.67,4.55,-8.12,1.238,9.07,49.12,1.221,57
UNIUSDT,77,3.62,-4.48,-8.1,-0.917,7.55,53.25,0.875,73
ETCUSDT,101,0.18,-3.55,-3.74,-1.029,9.16,53.47,0.878,73
