symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,3,9.65,-2.5,-12.15,-2.355,2.5,33.33,0.01,73
AXSUSDT,2,-2.98,0.2,3.18,2.52,0.0,100.0,inf,73
COMPUSDT,3,-23.18,0.04,23.22,0.051,2.34,33.33,1.038,73
DOGEUSDT,1,9.92,-2.11,-12.03,0.0,2.11,0.0,0.0,57
LDOUSDT,2,-6.61,1.83,8.44,3.907,0.0,100.0,inf,73
SOLUSDT,2,1.15,0.03,-1.12,0.435,0.06,50.0,1.484,73
AVAXUSDT,2,14.49,0.42,-14.06,5.134,0.0,100.0,inf,60
LINKUSDT,0,8.12,0.0,-8.12,0.0,0.0,0.0,0.0,57
UNIUSDT,2,8.01,-0.09,-8.1,-0.504,0.24,50.0,0.631,73
ETCUSDT,2,3.22,-0.52,-3.74,-10.217,0.52,0.0,0.0,73
