symbol,alpha_pct,sharpe_ann,perm_p,perm_random_mean
UNIUSDT,89.82,1.006,0.06,-20.274
LDOUSDT,79.83,0.797,0.125,18.277
AVAXUSDT,64.31,0.425,0.18,19.417
