symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
BTCUSDT,23,16,8,24.15,5.97,-18.19,0.515,24.52,60.87,1.239,167
ETHUSDT,21,9,12,61.57,33.7,-27.87,1.828,14.8,71.43,1.883,167
SOLUSDT,25,12,13,79.67,40.0,-39.67,1.894,18.38,64.0,1.795,168
AVAXUSDT,19,10,10,29.95,-23.26,-53.21,-0.861,41.8,47.37,0.719,153
LINKUSDT,26,17,10,10.94,-38.76,-49.7,-1.942,50.9,34.62,0.564,153
DOGEUSDT,22,9,13,44.45,-7.29,-51.74,-0.068,33.6,54.55,0.978,153
