date,totalNetInflow,cum5,rank90,side
2025-05-29,-358653461.615,,,none
2025-05-30,-616218414.2,,,none
2025-06-02,-267520349.93,,,none
2025-06-03,378043221.385,,,none
2025-06-04,86921550.95,-777427453.4100001,,none
2025-06-05,-278435958.87,-697209950.6650001,,none
2025-06-06,-47822507.15,-128814043.61500004,,none
2025-06-09,386274141.785,524980448.1,,none
2025-06-10,431120840.62,578058067.335,,none
2025-06-11,164565924.85,655702441.235,,none
2025-06-12,86311350.9,1020449751.005,,none
2025-06-13,322602946.3,1390875204.455,,none
2025-06-16,412201147.275,1416802209.945,,none
2025-06-17,216483836.965,1202165206.29,,none
2025-06-18,389567193.85,1427166475.29,,none
2025-06-20,6365769.25,1347220893.6399999,,none
2025-06-23,350429240.4150005,1375047187.7550004,,none
2025-06-24,588547154.5349995,1551393195.0149999,,none
2025-06-25,547720695.205,1882630053.255,,none
2025-06-26,228150439.23,1721213298.635,,none
2025-06-27,501271088.185,2216118617.5699997,,none
2025-06-30,102139223.565,1967828600.7199996,,none
2025-07-01,-342251387.265,1037030058.9199998,,none
2025-07-02,407778961.955,897088325.6699998,,none
2025-07-03,601937786.79,1270875673.2299998,,none
2025-07-07,216638681.38,986243266.4249998,,none
2025-07-08,80078975.7,964183018.56,,none
2025-07-09,218040421.155,1524474826.9799998,,none
2025-07-10,1178827866.4,2295523731.425,,none
2025-07-11,1029699313.05,2723285257.685,,none
2025-07-14,297396370.36,2804042946.665,,none
2025-07-15,402994856.445,3126958827.41,,none
2025-07-16,799399995.2,3708318401.455,,none
2025-07-17,522599551.795,3052090086.85,0.9333333333333333,long
2025-07-18,363454160.365,2385844934.165,0.8387096774193549,long
2025-07-21,-131349096.85,1957099466.9549997,0.71875,none
2025-07-22,-67932190.885,1486172419.6249998,0.5757575757575758,none
2025-07-23,-85962758.04,600809666.3849998,0.17647058823529413,short
2025-07-24,226608277.85,304818392.43999976,0.11428571428571428,short
2025-07-25,130692903.21,72057135.28499974,0.1111111111111111,short
2025-07-28,157021242.475,360427474.6099998,0.16216216216216217,short
2025-07-29,79978069.35,508337734.84499973,0.18421052631578946,short
2025-07-30,47038253.4,641338746.2849997,0.28205128205128205,none
2025-07-31,-114834242.24999999,299896226.1849997,0.125,short
2025-08-01,-812246966.1,-643043643.1250002,0.07317073170731707,short
2025-08-04,-333191857.7,-1133256743.3000004,0.023809523809523808,short
2025-08-05,-196178800.0,-1409413612.6500003,0.023255813953488372,short
2025-08-06,91554340.55,-1364897525.5000005,0.045454545454545456,short
2025-08-07,280688452.31,-969374830.9400003,0.08888888888888889,short
2025-08-08,403881213.6,246753348.7599997,0.21739130434782608,none
2025-08-11,178154998.81,758100205.2699997,0.425531914893617,none
2025-08-12,65947428.4,1020226433.6699997,0.5,none
2025-08-13,86914542.82,1015586635.9399997,0.4897959183673469,none
2025-08-14,230933769.645,965831953.2749996,0.46,none
2025-08-15,-14129518.99999942,547821220.6750002,0.3137254901960784,none
2025-08-18,-121808966.70000115,247857255.16499907,0.21153846153846154,none
2025-08-19,-523311423.44,-341401596.6750009,0.1509433962264151,short
2025-08-20,-311566483.2399994,-739882622.7350004,0.1111111111111111,short
2025-08-21,-194321082.13,-1165137474.5100002,0.05454545454545454,short
2025-08-22,-23149183.865,-1174157139.375001,0.05357142857142857,short
2025-08-25,219001445.82499945,-833346726.8500004,0.12280701754385964,short
2025-08-26,88204940.78000055,-221830362.62999982,0.22413793103448276,none
2025-08-27,81246024.75000055,170982145.36000013,0.2711864406779661,none
2025-08-28,178896309.45999944,544199536.9499996,0.4,none
2025-08-29,-126642750.72,440705970.09499955,0.36065573770491804,none
2025-09-02,332760613.6950005,554465137.9650006,0.43548387096774194,none
2025-09-03,301324766.0,767584963.1850001,0.5238095238095238,none
2025-09-04,-227482223.02500057,458856715.4099989,0.359375,none
2025-09-05,-160178187.64,119782218.30999953,0.24615384615384617,none
2025-09-08,368251608.4000006,614676577.4300001,0.48484848484848486,none
2025-09-09,23054895.09499945,304970858.82999897,0.3283582089552239,none
2025-09-10,757144698.96,760790791.789999,0.5441176470588235,none
2025-09-11,552782166.45,1541055181.2649996,0.8115942028985508,long
2025-09-12,642350174.92,2343583543.825,0.9142857142857143,long
2025-09-15,260017759.975,2235349695.399999,0.8873239436619719,long
2025-09-16,292266165.4,2504560965.7049994,0.9305555555555556,long
2025-09-17,-51282426.56999998,1696133840.1749995,0.7945205479452054,none
2025-09-18,163025717.6499994,1306377391.374999,0.6621621621621622,none
