symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
SOLUSDT,385,36.04,3.12,-32.93,0.271,33.54,51.95,1.033,397
HBARUSDT,367,-1.74,-50.26,-48.51,-1.327,63.49,46.05,0.851,399
AXSUSDT,379,11.02,-41.66,-52.68,-0.866,67.98,43.54,0.902,399
DOGEUSDT,357,-9.94,-58.57,-48.62,-1.703,66.14,42.3,0.814,383
UNIUSDT,367,48.44,2.29,-46.15,0.277,31.4,44.96,1.036,399
PYTHUSDT,384,-0.5,-66.17,-65.67,-1.839,71.71,37.76,0.804,399
TONUSDT,360,89.98,23.74,-66.23,0.727,24.04,58.61,1.095,395
ICPUSDT,373,0.68,-55.49,-56.17,-1.501,73.25,44.24,0.834,399
ETCUSDT,374,3.15,-45.7,-48.86,-1.255,51.19,49.47,0.86,399
JUPUSDT,385,3.53,-57.54,-61.07,-1.417,62.11,39.22,0.848,399
COMPUSDT,380,71.84,31.41,-40.43,0.802,48.62,52.63,1.102,399
WLDUSDT,388,-6.45,-75.46,-69.0,-2.521,75.73,35.31,0.75,399
LDOUSDT,388,10.06,-47.54,-57.6,-1.043,59.8,41.75,0.887,399
1000LUNCUSDT,385,-98.09,-44.75,53.34,-1.141,58.66,48.31,0.871,399
