symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
SOLUSDT,253,45.84,13.9,-31.94,0.49,40.01,41.9,1.074,396
HBARUSDT,237,-11.79,-60.18,-48.39,-1.97,66.69,32.91,0.747,398
AXSUSDT,264,24.92,-28.59,-53.51,-0.443,50.77,34.09,0.938,398
DOGEUSDT,241,-1.07,-47.11,-46.05,-1.252,54.08,34.44,0.834,382
UNIUSDT,250,147.66,102.32,-45.34,1.515,26.78,40.4,1.274,399
PYTHUSDT,247,18.41,-47.18,-65.59,-1.051,59.1,29.55,0.854,399
TONUSDT,233,95.09,28.79,-66.3,0.833,23.63,50.21,1.133,395
ICPUSDT,272,27.03,-28.86,-55.88,-0.483,51.43,37.87,0.933,399
ETCUSDT,244,1.64,-46.99,-48.63,-1.505,57.73,41.8,0.807,399
JUPUSDT,275,-1.82,-63.65,-61.83,-1.789,68.33,29.82,0.776,399
COMPUSDT,251,65.48,24.39,-41.08,0.675,34.76,43.43,1.107,398
WLDUSDT,273,58.51,-10.29,-68.79,0.05,55.67,33.33,1.007,399
LDOUSDT,267,3.23,-54.02,-57.25,-1.337,62.16,31.09,0.825,399
1000LUNCUSDT,251,-72.95,-21.13,51.83,-0.351,42.77,43.03,0.949,398
