symbol,n_trades,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
SOLUSDT,797,-25.34,-58.28,-32.94,-1.555,63.8,57.72,0.876,397
HBARUSDT,810,-13.4,-61.0,-47.61,-1.531,72.52,56.05,0.879,399
AXSUSDT,837,-31.37,-84.02,-52.65,-2.691,86.27,49.82,0.793,399
DOGEUSDT,769,-11.41,-59.99,-48.58,-1.615,63.88,55.4,0.873,383
UNIUSDT,788,-3.26,-50.31,-47.05,-0.952,64.86,53.81,0.92,399
PYTHUSDT,849,-7.21,-74.16,-66.94,-1.943,75.34,50.53,0.858,399
TONUSDT,766,20.2,-46.55,-66.75,-1.216,48.61,60.57,0.897,395
ICPUSDT,835,-7.34,-64.73,-57.39,-1.555,74.87,54.01,0.878,399
ETCUSDT,791,-26.83,-76.76,-49.94,-2.887,79.91,55.12,0.779,399
JUPUSDT,853,-2.62,-65.51,-62.9,-1.447,75.38,51.0,0.892,399
COMPUSDT,825,4.52,-36.11,-40.63,-0.633,55.14,58.3,0.95,399
WLDUSDT,845,-16.49,-86.88,-70.4,-2.926,89.15,48.52,0.786,399
LDOUSDT,834,-25.11,-84.42,-59.31,-2.825,84.97,49.28,0.797,399
1000LUNCUSDT,801,-103.99,-49.66,54.32,-1.13,66.11,56.93,0.907,399
