z,cell,n,mean_bp
1.5,1,660,-130.84738546430265
1.5,2,633,-88.82920422711119
1.5,3,683,-10.670722034316793
1.5,4,649,134.4903415810247
2.0,1,289,-196.49581626591586
2.0,2,275,-104.88542039923855
2.0,3,280,11.4647630930454
2.0,4,262,165.27048241974705
2.5,1,118,-303.6737959028362
2.5,2,99,-38.477056526131896
2.5,3,82,125.48466511209516
2.5,4,83,199.40856342517395
