open_time,gross_ret,funding_pnl,net_ret,fee_lag,turnover,short_capital,active_short_syms,eq_basket,btc_short_bnh
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.014041615543710076,-0.010575194240523
2024-05-31,0.00932661667178989,5.4663477733467174e-05,0.009381280149523358,0.0,0.09787203787792165,0.9999999999999999,2,-0.004704843100540186,0.012055114944629297
2024-06-01,-0.0023036788681257093,0.00027665779358112516,-0.0021053187048469214,7.829763030233733e-05,0.07387039908528414,1.0,2,0.006319833704952086,-0.0032747392268774878
2024-06-02,0.011952188955437813,0.0003218638350193396,0.012214956471188924,5.909631926822732e-05,0.9610707244807619,1.0,2,-0.011866260155439654,-9.882122502924418e-05
2024-06-03,-0.01607967347753316,0.00027462779596432825,-0.01657390226115344,0.0007688565795846095,0.3778431702276617,1.0,4,0.007065558022132966,-0.015419012209851868
2024-06-04,-0.04431149507258846,0.00022219705593639163,-0.0443915725528342,0.00030227453618212935,0.33852625212585186,1.0,5,0.028657375437086432,-0.02510624330078981
2024-06-05,-0.01953242165837176,0.00035125249076778636,-0.019451990169304656,0.0002708210017006815,0.8714449212315277,0.9999999999999999,4,0.013243629324457924,-0.007839331255313109
2024-06-06,0.04520274643421374,0.0002797727885479847,0.0447853632857765,0.0006971559369852222,0.04737643665196789,1.0,2,-0.015975528965704772,0.004263825803104915
2024-06-07,0.08838299485281237,0.00016940554157092108,0.08851449924506172,3.790114932157431e-05,0.01412214885743518,1.0,2,-0.04572036216155121,0.020513906536778204
2024-06-08,0.04866103697627889,0.0001584926683940809,0.04880823192558702,1.1297719085948144e-05,0.5286940424572878,1.0,2,-0.01975773341055221,0.00043962696570909454
2024-06-09,-0.010589591371392839,0.00020929027154579133,-0.010803256333812877,0.00042295523396583025,0.5286940424572878,1.0000000000000002,3,0.012024779803697634,-0.004623160505577095
2024-06-10,0.02913743735628886,0.0001751409938583857,0.028889623116181415,0.00042295523396583025,0.006460465022624207,1.0,2,-0.0221185746899725,0.0015559711829544742
2024-06-11,0.053491088760740185,0.00017417192410499206,0.05366009231282708,5.168372018099366e-06,0.8835692086179394,0.9999999999999999,2,-0.045690442972398305,0.032174264326389035
2024-06-12,-0.03944999889383946,0.00015497951108085664,-0.04000187474965296,0.0007068553668943515,0.8835692086179395,1.0,4,0.038068498677919727,-0.014105616845933033
2024-06-13,0.08715011311929463,0.00018324241283539737,0.08662650016523567,0.0007068553668943516,0.04133388988472331,1.0,2,-0.04480932986450858,0.02172833574775579
2024-06-14,0.04240909213493616,0.00018944249631810587,0.042565467519346485,3.3067111907778644e-05,1.243372510725444,1.0,2,-0.02297225309717518,0.011187822761649313
2024-06-15,-0.014538660598531494,4.919091365980872e-05,-0.01548416769345204,0.0009946980085803554,0.41111018422715867,0.9999999999999998,7,0.014754129499782442,-0.002634778777008462
