open_time,gross_ret,net_ret,long_side_ret,short_side_ret,eq_basket,btc_bnh,turnover_long,turnover_short,fee_lag,short_funding_drag,long_capital,short_capital,active_long_syms,active_short_syms
2024-05-30,0.0,0.0,0.0,0.0,-0.014041615543710076,0.010575194240523,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2024-05-31,0.03083533643811384,0.030735336438113842,0.02150871976632395,0.00932661667178989,-0.004704843100540186,-0.012055114944629297,0.05135923313558166,0.09787203787792165,0.0,9.999999999999999e-05,1.0,0.9999999999999999,2,2
2024-06-01,0.0024666733823360677,0.002247288365525265,0.004770352250461777,-0.0023036788681257093,0.006319833704952086,0.0032747392268774878,0.06500031595334022,0.07387039908528414,0.00011938501681080265,0.0001,1.0,1.0,2,2
2024-06-02,-0.0023318347050458217,-0.002542931277076721,-0.014284023660483635,0.011952188955437813,-0.011866260155439654,9.882122502924418e-05,0.03557416436661548,0.9610707244807619,0.00011109657203089949,0.0001,1.0,1.0,2,2
2024-06-03,-0.03830304191785748,-0.039200357828935384,-0.022223368440324312,-0.01607967347753316,0.007065558022132966,0.015419012209851868,0.0706359648637091,0.3778431702276617,0.0007973159110779019,0.0001,1.0,1.0,2,4
2024-06-04,-0.03709278146247405,-0.03755156477054715,0.007218713610114415,-0.04431149507258846,0.028657375437086432,0.02510624330078981,0.05436251282350257,0.33852625212585186,0.00035878330807309665,0.0001,0.9999999999999999,1.0,2,5
2024-06-05,-0.013662236738569039,-0.014076547750528521,0.005870184919802723,-0.01953242165837176,0.013243629324457924,0.007839331255313109,0.17099400924825348,0.8714449212315277,0.00031431101195948354,9.999999999999999e-05,0.9999999999999999,0.9999999999999999,2,4
2024-06-06,0.02307979220866269,0.022145841064278866,-0.022122954225551054,0.04520274643421374,-0.015975528965704772,-0.004263825803104915,0.40828030608831367,0.04737643665196789,0.000833951144383825,0.0001,1.0,1.0,2,2
2024-06-07,0.047096309066262575,0.04663178367207035,-0.041286685786549794,0.08838299485281237,-0.04572036216155121,-0.020513906536778204,0.40828030608831356,0.01412214885743518,0.0003645253941922253,0.0001,1.0,1.0,3,2
2024-06-08,0.035886213717383264,0.03544829175342666,-0.012774823258895628,0.04866103697627889,-0.01975773341055221,-0.00043962696570909454,0.1039273057627621,0.5286940424572878,0.000337921963956599,0.0001,0.9999999999999999,1.0,2,2
2024-06-09,0.0065293807936412165,0.005923283715065176,0.017118972165034056,-0.010589591371392839,0.012024779803697634,0.004623160505577095,0.5799226223877145,0.5286940424572878,0.0005060970785760399,0.00010000000000000003,1.0,1.0000000000000002,2,3
2024-06-10,0.014209292607301272,0.01322239927542527,-0.014928144748987592,0.02913743735628886,-0.0221185746899725,-0.0015559711829544742,0.0745807351331364,0.006460465022624207,0.0008868933318760018,0.0001,1.0,1.0,4,2
2024-06-11,0.005828334230864384,0.005663501270739776,-0.0476627545298758,0.053491088760740185,-0.045690442972398305,-0.032174264326389035,0.6545033575208508,0.8835692086179394,6.483296012460849e-05,9.999999999999999e-05,1.0,0.9999999999999999,4,2
2024-06-12,0.000397778813329145,-0.0009326792395818872,0.0398477777071686,-0.03944999889383946,0.038068498677919727,0.014105616845933033,0.5062689236918461,0.8835692086179395,0.0012304580529110321,0.0001,1.0,1.0,2,4
2024-06-13,0.04698377608526729,0.04577190557941946,-0.04016633703402735,0.08715011311929463,-0.04480932986450858,-0.02172833574775579,0.07259134224191385,0.04133388988472331,0.0011118705058478285,0.0001,1.0,1.0,3,2
2024-06-14,0.028747764260526047,0.02855662407482474,-0.013661327874410111,0.04240909213493616,-0.02297225309717518,-0.011187822761649313,0.95573756842282,1.243372510725444,9.114018570130973e-05,0.0001,0.9999999999999999,1.0,3,2
2024-06-15,0.004088410709252658,0.002229122645934047,0.018627071307784154,-0.014538660598531494,0.014754129499782442,0.002634778777008462,0.2578788008532963,0.41111018422715867,0.0017592880633186113,9.999999999999998e-05,0.7421211991467037,0.9999999999999998,1,7
