hold,n_obs,mean_bp,obs_t,null_mean_t,signal_t_excess,perm_p_two_sided,ci_lower_bp,ci_upper_bp
5m,5859,-6.5103184955773585,-5.66094050406766,-21.422263806496268,15.761323302428607,1.0,-8.652607834544362,-4.170186328562873
15m,5859,-7.23859253990183,-3.404610221403343,-12.496606806743314,9.09199658533997,1.0,-11.082230325539077,-2.8355182266795893
30m,5859,-6.666505327645764,-2.186575420026064,-8.844999095939986,6.658423675913922,1.0,-12.528840829418751,0.2312833759573095
60m,5859,-8.10997944107916,-2.5899129470492124,-6.2959175363121,3.7060045892628874,1.0,-13.047669309680668,-2.2769244025748723
240m,5859,-5.450921677263894,-1.2383911845652475,-3.2523782938397434,2.013987109274496,0.996,-14.427016085081393,3.430276583740014
