symbol,alpha_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,n_trades,perm_p,perm_random_mean
LDOUSDT,117.98,1.283,23.91,46.84,1.366,158,0.06,25.785
UNIUSDT,62.46,0.565,20.36,43.45,1.162,145,0.16,-16.459
