symbol,n_trades,n_boundaries_test,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
COMPUSDT,97,1109,62.48,17.47,-45.01,1.048,10.24,57.73,1.378,369
SOLUSDT,120,1103,44.26,1.12,-43.14,0.152,15.75,54.17,1.039,367
AVAXUSDT,119,1031,50.59,-3.51,-54.09,-0.194,13.43,52.94,0.953,351
ETCUSDT,114,1110,47.99,-1.44,-49.44,-0.054,12.48,52.63,0.986,369
