symbol,n_trades,n_boundaries_test,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
COMPUSDT,125,1154,40.99,-2.59,-43.58,-0.126,14.3,53.6,0.965,384
SOLUSDT,132,1148,33.87,-1.74,-35.61,-0.153,14.08,47.73,0.965,382
AVAXUSDT,119,1076,46.45,-9.55,-56.01,-0.937,17.98,47.06,0.796,366
ETCUSDT,126,1155,35.47,-8.46,-43.93,-0.776,13.65,49.21,0.813,384
